HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HURL,HVideos
"Lo F1-2 Duong Giap Van Cuong, Đà Nẵng Việt Nam",,,,,Hotel Victory,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Hotel Victory có điểm du lịch nổi tiếng nào?, ,Gần Hotel Victory có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21134945-Reviews-Hotel_Victory-Da_Nang.html,
"Tran Dinh Tri 70, Đà Nẵng Việt Nam",,,,,Da Nang Hostel Ngocson,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Da Nang Hostel Ngocson có điểm du lịch nổi tiếng nào?, ,Gần Da Nang Hostel Ngocson có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d19949171-Reviews-Da_Nang_Hostel_Ngocson-Da_Nang.html,
"1359 Nguyen Tat Thanh Phuong Thanh Khe Dong, Quan Thanh Khe, Đà Nẵng 550000 Việt Nam",,,,,SPOT ON 1115 Romantic Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần SPOT ON 1115 Romantic Motel có điểm du lịch nổi tiếng nào?, ,Gần SPOT ON 1115 Romantic Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21336848-Reviews-SPOT_ON_1115_Romantic_Motel-Da_Nang.html,
"29 Lý Chính Thắng, Đà Nẵng Việt Nam",,,,,Nha nghi hien quy 3,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Nha nghi hien quy 3 có điểm du lịch nổi tiếng nào?, ,Gần Nha nghi hien quy 3 có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d23383903-Reviews-Nha_nghi_hien_quy_3-Da_Nang.html,
"Phu Xuan 3 03, Đà Nẵng Việt Nam",,,,,My Dung Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần My Dung Motel có điểm du lịch nổi tiếng nào?, ,Gần My Dung Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d23187018-Reviews-My_Dung_Motel-Da_Nang.html,
"Lo 23 B7 1 Nguyen Tat Thanh, Đà Nẵng 550000 Việt Nam",,,,,OYO 969 Anh Thy Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần OYO 969 Anh Thy Motel có điểm du lịch nổi tiếng nào?, ,Gần OYO 969 Anh Thy Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21335213-Reviews-OYO_969_Anh_Thy_Motel-Da_Nang.html,
"88 Nguyễn ViếT Xuân, Phường Hòa Minh, QuậN Liên Chiểu, Đà Nẵng Việt Nam",,,,,Phu Quy Hotel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Phu Quy Hotel có điểm du lịch nổi tiếng nào?, ,Gần Phu Quy Hotel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d19656103-Reviews-Phu_Quy_Hotel-Da_Nang.html,
"192/64 To Hieu Street, Lien Chieu, Đà Nẵng 550000 Việt Nam",,,,,OYO 962 Tulip Motel,Lien Chieu,Việt Nam,"Việt Nam,Đà Nẵng,Lien Chieu","Gần OYO 962 Tulip Motel có điểm du lịch nổi tiếng nào?, ,Gần OYO 962 Tulip Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g16740551-d21302001-Reviews-OYO_962_Tulip_Motel-Lien_Chieu_Da_Nang.html,
"50 Hong Thai, near Da Nang Railway Station Hoa Minh Ward, Đà Nẵng 550000 Việt Nam",,,,,OYO 1071 Nguyen Kim Motel,16,Việt Nam,"Việt Nam,Đà Nẵng,16","Gần OYO 1071 Nguyen Kim Motel có điểm du lịch nổi tiếng nào?, ,Gần OYO 1071 Nguyen Kim Motel có nhà hàng nào?, ",,,,,,,,16.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21289224-Reviews-OYO_1071_Nguyen_Kim_Motel-Da_Nang.html,
"Near Tran Cao Van, Đà Nẵng 550000 Việt Nam",,,,,OYO 1121 Bao Viet Hotel,14,Việt Nam,"Việt Nam,Đà Nẵng,14","Gần OYO 1121 Bao Viet Hotel có điểm du lịch nổi tiếng nào?, ,Gần OYO 1121 Bao Viet Hotel có nhà hàng nào?, ",,,,,,,,14.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21093864-Reviews-OYO_1121_Bao_Viet_Hotel-Da_Nang.html,
"100/2 Nguyễn Văn Thoại, Q. Ngũ Hành Sơn, Đà Nẵng Việt Nam",3.0,78.0,,"Tiếng Việt, Tiếng Anh",Khách sạn Nemo,409.091 ₫,272.727 ₫,"272.727 ₫, - ,409.091 ₫","Gần Khách sạn Nemo có điểm du lịch nổi tiếng nào?, ,Khách sạn Nemo có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Nemo có những tiện nghi phòng gì?, ,Khách sạn Nemo có chỗ đỗ xe không?, ,Gần Khách sạn Nemo có nhà hàng nào?, ,Khách sạn Nemo có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Nemo có cho phép vật nuôi không?, ,Nhân viên tại Khách sạn Nemo nói ngôn ngữ gì?, ,Khách sạn Nemo có trợ năng không?, ",,118.0,Số 8 trong 628 B&B / Nhà trọ tại Đà Nẵng,45.0,30.0,89.0,Tuyệt vời,17.0,"Yên tĩnh,Hiện đại",https://www.tripadvisor.com.vn/Hotel_Review-g298085-d3793990-Reviews-Nemo_Hotel-Da_Nang.html,
