HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"Ngo_c Thanh, Vinh Yen 280000 Vietnam",NA,NA,1,"English, Vietnamese",,Wyndham Grand Flamingo Dai Lai Resort,Vinh Yen,Vietnam,"Vietnam,Vinh Phuc Province,Vinh Yen","What are some of the property amenities at Wyndham Grand Flamingo Dai Lai Resort?, ,Which room amenities are available at Wyndham Grand Flamingo Dai Lai Resort?, ,What food & drink options are available at Wyndham Grand Flamingo Dai Lai Resort?, ,Is parking available at Wyndham Grand Flamingo Dai Lai Resort?, ,Are there opportunities to exercise at Wyndham Grand Flamingo Dai Lai Resort?, ,Does Wyndham Grand Flamingo Dai Lai Resort have an airport shuttle?, ,Does Wyndham Grand Flamingo Dai Lai Resort have airport transportation?, ,Does Wyndham Grand Flamingo Dai Lai Resort offer any business services?, ",40,NA,NA,NA,NA,NA,NA,181,NA,,11,https://www.tripadvisor.com/Hotel_Review-g2062763-d21294849-Reviews-Wyndham_Grand_Flamingo_Dai_Lai_Resort-Vinh_Yen_Vinh_Phuc_Province.html
"35 Duong Quoc Lo 2, Thai Phu, Mai Dinh, Hanoi Vietnam",NA,NA,NA,,,Noi Bai Boutique Hotel,Mai Dinh,Vietnam,"Vietnam,Hanoi,Mai Dinh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g21144613-d21143562-Reviews-Noi_Bai_Boutique_Hotel-Mai_Dinh_Hanoi.html
"R26, Pho Rung - Anh Nguyen Ocean Front, Nha Trang Vietnam",6,45,NA,,,The Trang Luxury Villa Nha Trang,Nha Trang,Vietnam,"Vietnam,Khanh Hoa Province,Nha Trang","Which popular attractions are close to The Trang Luxury Villa Nha Trang?, ,What are some restaurants close to The Trang Luxury Villa Nha Trang?, ",NA,NA,NA,NA,NA,16,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293928-d21887193-Reviews-The_Trang_Luxury_Villa_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html
"Lot 29 Oceanview, Tran Phu, Nha Trang Vietnam",6,47,NA,,,Oceanwind Hotel,Nha Trang,Vietnam,"Vietnam,Khanh Hoa Province,Nha Trang","Which popular attractions are close to Oceanwind Hotel?, ,Which room amenities are available at Oceanwind Hotel?, ,What are some restaurants close to Oceanwind Hotel?, ",NA,NA,NA,NA,NA,17,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293928-d12693359-Reviews-Oceanwind_Hotel-Nha_Trang_Khanh_Hoa_Province.html
"Di_n Xa, Quang Ti_n, Soc Son, Hanoi 100000 Vietnam",NA,NA,NA,"English, Vietnamese",,Golden Lotus Airport Hotel & Travel,32,Vietnam,"Vietnam,Hanoi,32","Which popular attractions are close to Golden Lotus Airport Hotel & Travel?, ,What are some of the property amenities at Golden Lotus Airport Hotel & Travel?, ,Which room amenities are available at Golden Lotus Airport Hotel & Travel?, ,Is parking available at Golden Lotus Airport Hotel & Travel?, ,What are some restaurants close to Golden Lotus Airport Hotel & Travel?, ,Does Golden Lotus Airport Hotel & Travel have airport transportation?, ,Are any cleaning services offered at Golden Lotus Airport Hotel & Travel?, ,Which languages are spoken by the staff at Golden Lotus Airport Hotel & Travel?, ",NA,NA,NA,NA,NA,NA,NA,32,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293924-d22978199-Reviews-Golden_Lotus_Airport_Hotel_Travel-Hanoi.html
"08 Tran Phu Street, Nha Trang 650000 Vietnam",6,47,NA,,,La Vague Hotel,Nha Trang,Vietnam,"Vietnam,Khanh Hoa Province,Nha Trang","Which popular attractions are close to La Vague Hotel?, ,What are some restaurants close to La Vague Hotel?, ",NA,NA,NA,NA,NA,17,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293928-d23048335-Reviews-La_Vague_Hotel-Nha_Trang_Khanh_Hoa_Province.html
"DT 20 Victory Road, Phong Nha-Ke Bang National Park 510000 Vietnam",NA,NA,156,"English, French, Vietnamese",,Victory Road Villas,$154,$68,"$68, - ,$154","Which popular attractions are close to Victory Road Villas?, ,What are some of the property amenities at Victory Road Villas?, ,Which room amenities are available at Victory Road Villas?, ,What food & drink options are available at Victory Road Villas?, ,Is parking available at Victory Road Villas?, ,What are some restaurants close to Victory Road Villas?, ,Are there opportunities to exercise at Victory Road Villas?, ,Does Victory Road Villas have an airport shuttle?, ,Does Victory Road Villas have airport transportation?, ,Are any cleaning services offered at Victory Road Villas?, ",20,116,#1 of 8 hotels in Phong Nha-Ke Bang National Park,50,30,NA,Excellent,7,"Trendy,Great View",,18,https://www.tripadvisor.com/Hotel_Review-g4014591-d12847152-Reviews-Victory_Road_Villas-Phong_Nha_Ke_Bang_National_Park_Quang_Binh_Province.html
"Km 9, Vo Van Kiet, Quang Minh, Gia Lac, Huyen Me Linh, Hanoi 100000 Vietnam",NA,NA,NA,,,SPOT ON 835 Truong An Hotel 2,Hanoi,Truong An Hotel 2,"Truong An Hotel 2,Vietnam,Hanoi","Which popular attractions are close to SPOT ON 835 Truong An Hotel 2?, ",NA,NA,NA,NA,NA,NA,NA,10,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293924-d20146424-Reviews-SPOT_ON_835_Truong_An_Hotel_2-Hanoi.html
"6 Vo Nguyen Giap, Mai Dinh, Hanoi Vietnam",NA,NA,NA,,,La Teisu Airport Hotel,Mai Dinh,Vietnam,"Vietnam,Hanoi,Mai Dinh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g21157075-d21156618-Reviews-La_Teisu_Airport_Hotel-Mai_Dinh_Hanoi.html
"384 Qu_c L_ 20, Lien Nghia Vietnam",NA,NA,NA,,,Nha Nghi Hoan My,Lien Nghia,Vietnam,"Vietnam,Lam Dong Province,Lien Nghia","What are some restaurants close to Nha Nghi Hoan My?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g19844636-d23487948-Reviews-Nha_Nghi_Hoan_My-Lien_Nghia_Lam_Dong_Province.html
